 Time Control                                                Count 
[Event "Rated Blitz game"] [TimeControl "60+3"]              11233
[Event "Rated Blitz game"] [TimeControl "60+4"]              2875
[Event "Rated Blitz tournament"] [TimeControl "60+4"]        3
[Event "Rated Blitz game"] [TimeControl "60+5"]              3452
[Event "Rated Blitz game"] [TimeControl "60+6"]              1194
[Event "Rated Blitz game"] [TimeControl "60+7"]              396
[Event "Rated Blitz game"] [TimeControl "60+8"]              940
[Event "Rated Blitz game"] [TimeControl "60+9"]              392
[Event "Rated Blitz game"] [TimeControl "60+10"]             2835
[Event "Rated Classical game"] [TimeControl "60+11"]         811
[Event "Rated Classical game"] [TimeControl "60+12"]         157
[Event "Rated Classical game"] [TimeControl "60+13"]         2
[Event "Rated Classical game"] [TimeControl "60+14"]         7
[Event "Rated Classical game"] [TimeControl "60+15"]         429
[Event "Rated Classical game"] [TimeControl "60+16"]         3
[Event "Rated Classical game"] [TimeControl "60+19"]         36
[Event "Rated Classical game"] [TimeControl "60+20"]         66
[Event "Rated Classical game"] [TimeControl "60+25"]         36
[Event "Rated Classical game"] [TimeControl "60+30"]         484
[Event "Rated Classical game"] [TimeControl "60+40"]         12
[Event "Rated Classical game"] [TimeControl "60+45"]         8
[Event "Rated Classical game"] [TimeControl "60+120"]        1
[Event "Rated Classical game"] [TimeControl "60+150"]        2
[Event "Rated Classical game"] [TimeControl "60+180"]        17
[Event "Rated Bullet game"] [TimeControl "90+0"]             9923
[Event "Rated Bullet tournament"] [TimeControl "90+0"]       5
[Event "Rated Bullet game"] [TimeControl "90+1"]             2212
[Event "Rated Bullet tournament"] [TimeControl "90+1"]       128
[Event "Rated Bullet game"] [TimeControl "90+2"]             13126
[Event "Rated Bullet tournament"] [TimeControl "90+2"]       119
[Event "Rated Blitz game"] [TimeControl "90+3"]              395
[Event "Rated Blitz game"] [TimeControl "90+4"]              551
[Event "Rated Blitz game"] [TimeControl "90+5"]              551
[Event "Rated Blitz game"] [TimeControl "90+6"]              55
[Event "Rated Blitz game"] [TimeControl "90+7"]              5
[Event "Rated Blitz game"] [TimeControl "90+8"]              198
[Event "Rated Blitz game"] [TimeControl "90+9"]              183
[Event "Rated Classical game"] [TimeControl "90+10"]         117
[Event "Rated Classical game"] [TimeControl "90+11"]         5
[Event "Rated Classical game"] [TimeControl "90+12"]         10
[Event "Rated Classical game"] [TimeControl "90+13"]         1
[Event "Rated Classical game"] [TimeControl "90+14"]         2
[Event "Rated Classical game"] [TimeControl "90+15"]         438
[Event "Rated Classical game"] [TimeControl "90+20"]         238
[Event "Rated Classical game"] [TimeControl "90+25"]         1
[Event "Rated Classical game"] [TimeControl "90+30"]         1
[Event "Rated Classical game"] [TimeControl "90+35"]         1
[Event "Rated Classical game"] [TimeControl "90+120"]        1
[Event "Rated Classical game"] [TimeControl "90+180"]        1
[Event "Rated Bullet game"] [TimeControl "120+0"]            226395
[Event "Rated Bullet tournament"] [TimeControl "120+0"]      5300
[Event "Rated Bullet game"] [TimeControl "120+1"]            311850
[Event "Rated Bullet tournament"] [TimeControl "120+1"]      928
[Event "Rated Blitz game"] [TimeControl "120+2"]             23229
[Event "Rated Blitz tournament"] [TimeControl "120+2"]       479
[Event "Rated Blitz game"] [TimeControl "120+3"]             12885
[Event "Rated Blitz game"] [TimeControl "120+4"]             2832
[Event "Rated Blitz tournament"] [TimeControl "120+4"]       94
[Event "Rated Blitz game"] [TimeControl "120+5"]             7001
[Event "Rated Blitz tournament"] [TimeControl "120+5"]       34
[Event "Rated Blitz game"] [TimeControl "120+6"]             951
[Event "Rated Blitz game"] [TimeControl "120+7"]             697
[Event "Rated Blitz game"] [TimeControl "120+8"]             3992
[Event "Rated Classical game"] [TimeControl "120+9"]         1090
[Event "Rated Classical game"] [TimeControl "120+10"]        3006
[Event "Rated Classical game"] [TimeControl "120+11"]        30
[Event "Rated Classical game"] [TimeControl "120+12"]        423
[Event "Rated Classical game"] [TimeControl "120+13"]        14
[Event "Rated Classical game"] [TimeControl "120+14"]        90
[Event "Rated Classical game"] [TimeControl "120+15"]        853
[Event "Rated Classical game"] [TimeControl "120+16"]        2
[Event "Rated Classical game"] [TimeControl "120+17"]        2
