 Time Control                                                Count 
[Event "Rated Classical game"] [TimeControl "780+5"]         247
[Event "Rated Classical game"] [TimeControl "780+6"]         77
[Event "Rated Classical game"] [TimeControl "780+7"]         183
[Event "Rated Classical game"] [TimeControl "780+8"]         320
[Event "Rated Classical game"] [TimeControl "780+9"]         13
[Event "Rated Classical game"] [TimeControl "780+10"]        368
[Event "Rated Classical game"] [TimeControl "780+11"]        146
[Event "Rated Classical game"] [TimeControl "780+12"]        114
[Event "Rated Classical game"] [TimeControl "780+13"]        188
[Event "Rated Classical game"] [TimeControl "780+14"]        44
[Event "Rated Classical game"] [TimeControl "780+15"]        15
[Event "Rated Classical game"] [TimeControl "780+16"]        21
[Event "Rated Classical game"] [TimeControl "780+17"]        2
[Event "Rated Classical game"] [TimeControl "780+35"]        4
[Event "Rated Classical game"] [TimeControl "780+150"]       1
[Event "Rated Classical game"] [TimeControl "780+180"]       1
[Event "Rated Classical game"] [TimeControl "840+0"]         2990
[Event "Rated Classical game"] [TimeControl "840+1"]         81
[Event "Rated Classical game"] [TimeControl "840+2"]         251
[Event "Rated Classical game"] [TimeControl "840+3"]         81
[Event "Rated Classical game"] [TimeControl "840+4"]         215
[Event "Rated Classical game"] [TimeControl "840+5"]         402
[Event "Rated Classical game"] [TimeControl "840+6"]         136
[Event "Rated Classical game"] [TimeControl "840+7"]         89
[Event "Rated Classical game"] [TimeControl "840+8"]         357
[Event "Rated Classical game"] [TimeControl "840+9"]         18
[Event "Rated Classical game"] [TimeControl "840+10"]        350
[Event "Rated Classical game"] [TimeControl "840+11"]        109
[Event "Rated Classical game"] [TimeControl "840+12"]        178
[Event "Rated Classical game"] [TimeControl "840+13"]        75
[Event "Rated Classical game"] [TimeControl "840+14"]        83
[Event "Rated Classical game"] [TimeControl "840+15"]        72
[Event "Rated Classical game"] [TimeControl "840+16"]        40
[Event "Rated Classical game"] [TimeControl "840+17"]        14
[Event "Rated Classical game"] [TimeControl "840+18"]        11
[Event "Rated Classical game"] [TimeControl "840+40"]        1
[Event "Rated Classical game"] [TimeControl "900+0"]         164275
[Event "Rated Classical tournament"] [TimeControl "900+0"]   23
[Event "Rated Classical game"] [TimeControl "900+1"]         5720
[Event "Rated Classical game"] [TimeControl "900+2"]         6870
[Event "Rated Classical game"] [TimeControl "900+3"]         7370
[Event "Rated Classical game"] [TimeControl "900+4"]         1217
[Event "Rated Classical game"] [TimeControl "900+5"]         23666
[Event "Rated Classical tournament"] [TimeControl "900+5"]   7
[Event "Rated Classical game"] [TimeControl "900+6"]         1334
[Event "Rated Classical game"] [TimeControl "900+7"]         2315
[Event "Rated Classical game"] [TimeControl "900+8"]         4688
[Event "Rated Classical game"] [TimeControl "900+9"]         193
[Event "Rated Classical game"] [TimeControl "900+10"]        23962
[Event "Rated Classical tournament"] [TimeControl "900+10"]  15
[Event "Rated Classical game"] [TimeControl "900+11"]        281
[Event "Rated Classical game"] [TimeControl "900+12"]        725
[Event "Rated Classical game"] [TimeControl "900+13"]        87
[Event "Rated Classical game"] [TimeControl "900+14"]        251
[Event "Rated Classical game"] [TimeControl "900+15"]        113176
[Event "Rated Classical game"] [TimeControl "900+16"]        363
[Event "Rated Classical game"] [TimeControl "900+17"]        75
[Event "Rated Classical game"] [TimeControl "900+18"]        33
[Event "Rated Classical game"] [TimeControl "900+19"]        14
[Event "Rated Classical game"] [TimeControl "900+20"]        820
[Event "Rated Classical game"] [TimeControl "900+25"]        98
[Event "Rated Classical game"] [TimeControl "900+30"]        723
[Event "Rated Classical game"] [TimeControl "900+35"]        9
[Event "Rated Classical game"] [TimeControl "900+40"]        12
[Event "Rated Classical game"] [TimeControl "900+45"]        96
[Event "Rated Classical game"] [TimeControl "900+60"]        50
[Event "Rated Classical game"] [TimeControl "900+90"]        14
[Event "Rated Classical game"] [TimeControl "900+120"]       54
[Event "Rated Classical game"] [TimeControl "900+150"]       4
[Event "Rated Classical game"] [TimeControl "900+180"]       49
[Event "Rated Classical game"] [TimeControl "960+0"]         1528
[Event "Rated Classical game"] [TimeControl "960+1"]         292
[Event "Rated Classical game"] [TimeControl "960+2"]         111
[Event "Rated Classical game"] [TimeControl "960+3"]         78
[Event "Rated Classical game"] [TimeControl "960+4"]         96
[Event "Rated Classical game"] [TimeControl "960+5"]         266
[Event "Rated Classical game"] [TimeControl "960+6"]         107
[Event "Rated Classical game"] [TimeControl "960+7"]         56
[Event "Rated Classical game"] [TimeControl "960+8"]         886
[Event "Rated Classical game"] [TimeControl "960+9"]         56
[Event "Rated Classical game"] [TimeControl "960+10"]        200
[Event "Rated Classical game"] [TimeControl "960+11"]        12
[Event "Rated Classical game"] [TimeControl "960+12"]        4
[Event "Rated Classical game"] [TimeControl "960+13"]        2
[Event "Rated Classical game"] [TimeControl "960+14"]        5
[Event "Rated Classical game"] [TimeControl "960+15"]        201
[Event "Rated Classical game"] [TimeControl "960+16"]        40
[Event "Rated Classical game"] [TimeControl "960+17"]        8
[Event "Rated Classical game"] [TimeControl "960+18"]        37
[Event "Rated Classical game"] [TimeControl "960+20"]        7
[Event "Rated Classical game"] [TimeControl "960+25"]        1
[Event "Rated Classical game"] [TimeControl "960+35"]        4
[Event "Rated Classical game"] [TimeControl "960+40"]        4
[Event "Rated Classical game"] [TimeControl "1020+0"]        1193
[Event "Rated Classical game"] [TimeControl "1020+1"]        184
[Event "Rated Classical game"] [TimeControl "1020+2"]        28
[Event "Rated Classical game"] [TimeControl "1020+3"]        120
[Event "Rated Classical game"] [TimeControl "1020+4"]        41
[Event "Rated Classical game"] [TimeControl "1020+5"]        40
[Event "Rated Classical game"] [TimeControl "1020+6"]        22
[Event "Rated Classical game"] [TimeControl "1020+7"]        27
[Event "Rated Classical game"] [TimeControl "1020+8"]        377
[Event "Rated Classical game"] [TimeControl "1020+9"]        3
[Event "Rated Classical game"] [TimeControl "1020+10"]       156
[Event "Rated Classical game"] [TimeControl "1020+11"]       4
[Event "Rated Classical game"] [TimeControl "1020+12"]       6
[Event "Rated Classical game"] [TimeControl "1020+13"]       4
[Event "Rated Classical game"] [TimeControl "1020+15"]       40
[Event "Rated Classical game"] [TimeControl "1020+16"]       4
[Event "Rated Classical game"] [TimeControl "1020+17"]       75
[Event "Rated Classical game"] [TimeControl "1020+18"]       14
[Event "Rated Classical game"] [TimeControl "1020+19"]       16
[Event "Rated Classical game"] [TimeControl "1020+30"]       70
[Event "Rated Classical game"] [TimeControl "1020+45"]       12
[Event "Rated Classical game"] [TimeControl "1020+90"]       1
[Event "Rated Classical game"] [TimeControl "1080+0"]        762
[Event "Rated Classical game"] [TimeControl "1080+1"]        18
[Event "Rated Classical game"] [TimeControl "1080+2"]        19
[Event "Rated Classical game"] [TimeControl "1080+3"]        107
[Event "Rated Classical game"] [TimeControl "1080+4"]        9
[Event "Rated Classical game"] [TimeControl "1080+5"]        123
[Event "Rated Classical game"] [TimeControl "1080+6"]        14
[Event "Rated Classical game"] [TimeControl "1080+7"]        20
[Event "Rated Classical game"] [TimeControl "1080+8"]        183
[Event "Rated Classical game"] [TimeControl "1080+9"]        112
[Event "Rated Classical game"] [TimeControl "1080+10"]       285
[Event "Rated Classical game"] [TimeControl "1080+11"]       8
[Event "Rated Classical game"] [TimeControl "1080+12"]       19
[Event "Rated Classical game"] [TimeControl "1080+13"]       5
[Event "Rated Classical game"] [TimeControl "1080+14"]       10
[Event "Rated Classical game"] [TimeControl "1080+15"]       90
[Event "Rated Classical game"] [TimeControl "1080+16"]       6
[Event "Rated Classical game"] [TimeControl "1080+17"]       10
[Event "Rated Classical game"] [TimeControl "1080+18"]       127
[Event "Rated Classical game"] [TimeControl "1080+19"]       8
[Event "Rated Classical game"] [TimeControl "1080+20"]       91
[Event "Rated Classical game"] [TimeControl "1080+25"]       3
[Event "Rated Classical game"] [TimeControl "1080+30"]       8
[Event "Rated Classical game"] [TimeControl "1080+150"]      1
[Event "Rated Classical game"] [TimeControl "1140+0"]        753
[Event "Rated Classical game"] [TimeControl "1140+1"]        80
[Event "Rated Classical game"] [TimeControl "1140+2"]        186
[Event "Rated Classical game"] [TimeControl "1140+3"]        103
[Event "Rated Classical game"] [TimeControl "1140+4"]        64
[Event "Rated Classical game"] [TimeControl "1140+5"]        49
[Event "Rated Classical game"] [TimeControl "1140+6"]        29
[Event "Rated Classical game"] [TimeControl "1140+7"]        19
[Event "Rated Classical game"] [TimeControl "1140+8"]        38
[Event "Rated Classical game"] [TimeControl "1140+9"]        9
[Event "Rated Classical game"] [TimeControl "1140+10"]       28
[Event "Rated Classical game"] [TimeControl "1140+11"]       1
[Event "Rated Classical game"] [TimeControl "1140+12"]       8
[Event "Rated Classical game"] [TimeControl "1140+14"]       3
[Event "Rated Classical game"] [TimeControl "1140+15"]       9
[Event "Rated Classical game"] [TimeControl "1140+16"]       3
[Event "Rated Classical game"] [TimeControl "1140+17"]       4
[Event "Rated Classical game"] [TimeControl "1140+18"]       11
[Event "Rated Classical game"] [TimeControl "1140+19"]       403
[Event "Rated Classical game"] [TimeControl "1140+20"]       7
[Event "Rated Classical game"] [TimeControl "1140+25"]       8
[Event "Rated Classical game"] [TimeControl "1140+30"]       11
[Event "Rated Classical game"] [TimeControl "1200+0"]        57401
[Event "Rated Classical tournament"] [TimeControl "1200+0"]  19
[Event "Rated Classical game"] [TimeControl "1200+1"]        2205
[Event "Rated Classical game"] [TimeControl "1200+2"]        2215
[Event "Rated Classical game"] [TimeControl "1200+3"]        1334
[Event "Rated Classical tournament"] [TimeControl "1200+3"]  358
[Event "Rated Classical game"] [TimeControl "1200+4"]        382
[Event "Rated Classical game"] [TimeControl "1200+5"]        6568
[Event "Rated Classical tournament"] [TimeControl "1200+5"]  188
[Event "Rated Classical game"] [TimeControl "1200+6"]        495
[Event "Rated Classical game"] [TimeControl "1200+7"]        443
[Event "Rated Classical game"] [TimeControl "1200+8"]        2382
[Event "Rated Classical game"] [TimeControl "1200+9"]        70
[Event "Rated Classical game"] [TimeControl "1200+10"]       5950
[Event "Rated Classical game"] [TimeControl "1200+11"]       171
[Event "Rated Classical game"] [TimeControl "1200+12"]       203
[Event "Rated Classical game"] [TimeControl "1200+13"]       12
[Event "Rated Classical game"] [TimeControl "1200+14"]       17
[Event "Rated Classical game"] [TimeControl "1200+15"]       1738
[Event "Rated Classical game"] [TimeControl "1200+16"]       44
[Event "Rated Classical game"] [TimeControl "1200+17"]       57
[Event "Rated Classical game"] [TimeControl "1200+18"]       27
[Event "Rated Classical game"] [TimeControl "1200+19"]       44
[Event "Rated Classical game"] [TimeControl "1200+20"]       1829
[Event "Rated Classical game"] [TimeControl "1200+25"]       101
[Event "Rated Classical game"] [TimeControl "1200+30"]       290
[Event "Rated Classical game"] [TimeControl "1200+35"]       32
[Event "Rated Classical game"] [TimeControl "1200+40"]       3
[Event "Rated Classical game"] [TimeControl "1200+45"]       25
[Event "Rated Classical game"] [TimeControl "1200+60"]       21
[Event "Rated Classical game"] [TimeControl "1200+90"]       2
[Event "Rated Classical game"] [TimeControl "1200+150"]      31
[Event "Rated Classical game"] [TimeControl "1200+180"]      36
[Event "Rated Classical game"] [TimeControl "1500+0"]        12054
[Event "Rated Classical game"] [TimeControl "1500+1"]        533
[Event "Rated Classical game"] [TimeControl "1500+2"]        269
[Event "Rated Classical game"] [TimeControl "1500+3"]        248
[Event "Rated Classical game"] [TimeControl "1500+4"]        101
[Event "Rated Classical game"] [TimeControl "1500+5"]        2165
[Event "Rated Classical game"] [TimeControl "1500+6"]        124
[Event "Rated Classical game"] [TimeControl "1500+7"]        339
[Event "Rated Classical game"] [TimeControl "1500+8"]        677
[Event "Rated Classical game"] [TimeControl "1500+9"]        78
[Event "Rated Classical game"] [TimeControl "1500+10"]       2073
[Event "Rated Classical tournament"] [TimeControl "1500+10"] 467
[Event "Rated Classical game"] [TimeControl "1500+11"]       43
[Event "Rated Classical game"] [TimeControl "1500+12"]       21
[Event "Rated Classical game"] [TimeControl "1500+13"]       25
[Event "Rated Classical game"] [TimeControl "1500+14"]       12
[Event "Rated Classical game"] [TimeControl "1500+15"]       903
[Event "Rated Classical game"] [TimeControl "1500+16"]       61
[Event "Rated Classical game"] [TimeControl "1500+17"]       48
[Event "Rated Classical game"] [TimeControl "1500+18"]       3
[Event "Rated Classical game"] [TimeControl "1500+19"]       2
[Event "Rated Classical game"] [TimeControl "1500+20"]       355
[Event "Rated Classical game"] [TimeControl "1500+25"]       359
[Event "Rated Classical game"] [TimeControl "1500+30"]       157
[Event "Rated Classical game"] [TimeControl "1500+35"]       11
[Event "Rated Classical game"] [TimeControl "1500+40"]       6
[Event "Rated Classical game"] [TimeControl "1500+45"]       34
[Event "Rated Classical game"] [TimeControl "1500+60"]       116
[Event "Rated Classical game"] [TimeControl "1500+180"]      1
[Event "Rated Classical game"] [TimeControl "1800+0"]        28953
[Event "Rated Classical tournament"] [TimeControl "1800+0"]  6
[Event "Rated Classical game"] [TimeControl "1800+1"]        538
[Event "Rated Classical game"] [TimeControl "1800+2"]        699
[Event "Rated Classical game"] [TimeControl "1800+3"]        457
[Event "Rated Classical game"] [TimeControl "1800+4"]        107
[Event "Rated Classical game"] [TimeControl "1800+5"]        2613
[Event "Rated Classical game"] [TimeControl "1800+6"]        190
[Event "Rated Classical game"] [TimeControl "1800+7"]        187
[Event "Rated Classical game"] [TimeControl "1800+8"]        769
[Event "Rated Classical game"] [TimeControl "1800+9"]        22
[Event "Rated Classical game"] [TimeControl "1800+10"]       2895
[Event "Rated Classical game"] [TimeControl "1800+11"]       81
[Event "Rated Classical game"] [TimeControl "1800+12"]       66
[Event "Rated Classical game"] [TimeControl "1800+13"]       12
[Event "Rated Classical game"] [TimeControl "1800+14"]       21
[Event "Rated Classical game"] [TimeControl "1800+15"]       1908
[Event "Rated Classical game"] [TimeControl "1800+16"]       20
[Event "Rated Classical game"] [TimeControl "1800+18"]       8
[Event "Rated Classical game"] [TimeControl "1800+19"]       1
[Event "Rated Classical game"] [TimeControl "1800+20"]       354
[Event "Rated Classical game"] [TimeControl "1800+25"]       44
[Event "Rated Classical game"] [TimeControl "1800+30"]       2608
[Event "Rated Classical tournament"] [TimeControl "1800+30"] 3
[Event "Rated Classical game"] [TimeControl "1800+35"]       51
[Event "Rated Classical game"] [TimeControl "1800+40"]       10
[Event "Rated Classical game"] [TimeControl "1800+45"]       11
[Event "Rated Classical game"] [TimeControl "1800+60"]       161
[Event "Rated Classical game"] [TimeControl "1800+90"]       6
[Event "Rated Classical game"] [TimeControl "1800+120"]      8
[Event "Rated Classical game"] [TimeControl "1800+150"]      14
[Event "Rated Classical game"] [TimeControl "1800+180"]      40
[Event "Rated Classical game"] [TimeControl "2100+0"]        1029
[Event "Rated Classical game"] [TimeControl "2100+1"]        53
[Event "Rated Classical game"] [TimeControl "2100+2"]        5
[Event "Rated Classical game"] [TimeControl "2100+3"]        37
[Event "Rated Classical game"] [TimeControl "2100+5"]        75
[Event "Rated Classical game"] [TimeControl "2100+6"]        8
[Event "Rated Classical game"] [TimeControl "2100+7"]        15
[Event "Rated Classical game"] [TimeControl "2100+8"]        84
[Event "Rated Classical game"] [TimeControl "2100+9"]        8
[Event "Rated Classical game"] [TimeControl "2100+10"]       102
[Event "Rated Classical game"] [TimeControl "2100+11"]       6
[Event "Rated Classical game"] [TimeControl "2100+12"]       12
[Event "Rated Classical game"] [TimeControl "2100+13"]       33
[Event "Rated Classical game"] [TimeControl "2100+14"]       10
[Event "Rated Classical game"] [TimeControl "2100+15"]       73
[Event "Rated Classical game"] [TimeControl "2100+19"]       22
[Event "Rated Classical game"] [TimeControl "2100+20"]       205
[Event "Rated Classical game"] [TimeControl "2100+25"]       8
[Event "Rated Classical game"] [TimeControl "2100+30"]       116
[Event "Rated Classical game"] [TimeControl "2100+35"]       51
[Event "Rated Classical game"] [TimeControl "2100+40"]       2
[Event "Rated Classical game"] [TimeControl "2100+45"]       7
[Event "Rated Classical game"] [TimeControl "2100+60"]       2
[Event "Rated Classical game"] [TimeControl "2100+120"]      1
[Event "Rated Classical game"] [TimeControl "2100+180"]      5
[Event "Rated Classical game"] [TimeControl "2400+0"]        883
[Event "Rated Classical game"] [TimeControl "2400+1"]        52
[Event "Rated Classical game"] [TimeControl "2400+2"]        14
[Event "Rated Classical game"] [TimeControl "2400+3"]        28
[Event "Rated Classical game"] [TimeControl "2400+5"]        184
[Event "Rated Classical game"] [TimeControl "2400+6"]        7
[Event "Rated Classical game"] [TimeControl "2400+7"]        52
[Event "Rated Classical game"] [TimeControl "2400+8"]        251
[Event "Rated Classical game"] [TimeControl "2400+9"]        281
[Event "Rated Classical game"] [TimeControl "2400+10"]       286
[Event "Rated Classical game"] [TimeControl "2400+11"]       1
[Event "Rated Classical game"] [TimeControl "2400+12"]       17
[Event "Rated Classical game"] [TimeControl "2400+14"]       15
[Event "Rated Classical game"] [TimeControl "2400+15"]       202
[Event "Rated Classical game"] [TimeControl "2400+16"]       1
[Event "Rated Classical game"] [TimeControl "2400+18"]       10
[Event "Rated Classical game"] [TimeControl "2400+20"]       22
[Event "Rated Classical game"] [TimeControl "2400+25"]       14
[Event "Rated Classical game"] [TimeControl "2400+30"]       233
[Event "Rated Classical game"] [TimeControl "2400+35"]       3
[Event "Rated Classical game"] [TimeControl "2400+40"]       9
[Event "Rated Classical game"] [TimeControl "2400+60"]       4
[Event "Rated Classical game"] [TimeControl "2400+120"]      2
[Event "Rated Classical game"] [TimeControl "2400+180"]      3
[Event "Rated Classical game"] [TimeControl "2700+0"]        3753
[Event "Rated Classical game"] [TimeControl "2700+1"]        90
[Event "Rated Classical game"] [TimeControl "2700+2"]        33
[Event "Rated Classical game"] [TimeControl "2700+3"]        12
[Event "Rated Classical game"] [TimeControl "2700+4"]        3
[Event "Rated Classical game"] [TimeControl "2700+5"]        535
[Event "Rated Classical game"] [TimeControl "2700+6"]        13
[Event "Rated Classical game"] [TimeControl "2700+7"]        38
[Event "Rated Classical game"] [TimeControl "2700+8"]        78
[Event "Rated Classical game"] [TimeControl "2700+9"]        2
[Event "Rated Classical game"] [TimeControl "2700+10"]       272
[Event "Rated Classical game"] [TimeControl "2700+12"]       2
[Event "Rated Classical game"] [TimeControl "2700+13"]       4
[Event "Rated Classical game"] [TimeControl "2700+14"]       26
[Event "Rated Classical game"] [TimeControl "2700+15"]       291
[Event "Rated Classical game"] [TimeControl "2700+18"]       4
[Event "Rated Classical game"] [TimeControl "2700+20"]       25
[Event "Rated Classical game"] [TimeControl "2700+25"]       17
[Event "Rated Classical game"] [TimeControl "2700+30"]       111
[Event "Rated Classical game"] [TimeControl "2700+35"]       4
[Event "Rated Classical game"] [TimeControl "2700+40"]       2
[Event "Rated Classical game"] [TimeControl "2700+45"]       486
[Event "Rated Classical game"] [TimeControl "2700+60"]       7
[Event "Rated Classical game"] [TimeControl "2700+90"]       1
[Event "Rated Classical game"] [TimeControl "2700+120"]      5
[Event "Rated Classical game"] [TimeControl "2700+150"]      38
[Event "Rated Classical game"] [TimeControl "2700+180"]      3
[Event "Rated Classical game"] [TimeControl "3600+0"]        3532
[Event "Rated Classical game"] [TimeControl "3600+1"]        132
[Event "Rated Classical game"] [TimeControl "3600+2"]        35
[Event "Rated Classical game"] [TimeControl "3600+3"]        34
[Event "Rated Classical game"] [TimeControl "3600+4"]        3
[Event "Rated Classical game"] [TimeControl "3600+5"]        94
[Event "Rated Classical game"] [TimeControl "3600+6"]        5
[Event "Rated Classical game"] [TimeControl "3600+7"]        10
[Event "Rated Classical game"] [TimeControl "3600+8"]        321
[Event "Rated Classical game"] [TimeControl "3600+10"]       317
[Event "Rated Classical game"] [TimeControl "3600+11"]       12
[Event "Rated Classical game"] [TimeControl "3600+12"]       17
[Event "Rated Classical game"] [TimeControl "3600+14"]       3
[Event "Rated Classical game"] [TimeControl "3600+15"]       116
[Event "Rated Classical game"] [TimeControl "3600+16"]       6
[Event "Rated Classical game"] [TimeControl "3600+20"]       33
[Event "Rated Classical game"] [TimeControl "3600+25"]       4
[Event "Rated Classical game"] [TimeControl "3600+30"]       624
[Event "Rated Classical game"] [TimeControl "3600+35"]       1
[Event "Rated Classical game"] [TimeControl "3600+40"]       1
[Event "Rated Classical game"] [TimeControl "3600+45"]       2
[Event "Rated Classical game"] [TimeControl "3600+60"]       123
[Event "Rated Classical tournament"] [TimeControl "3600+60"] 8
[Event "Rated Classical game"] [TimeControl "3600+90"]       6
[Event "Rated Classical game"] [TimeControl "3600+120"]      8
[Event "Rated Classical game"] [TimeControl "3600+150"]      4
[Event "Rated Classical game"] [TimeControl "3600+180"]      12
[Event "Rated Classical game"] [TimeControl "5400+0"]        631
[Event "Rated Classical game"] [TimeControl "5400+1"]        1
[Event "Rated Classical game"] [TimeControl "5400+2"]        3
[Event "Rated Classical game"] [TimeControl "5400+3"]        3
[Event "Rated Classical game"] [TimeControl "5400+5"]        18
[Event "Rated Classical game"] [TimeControl "5400+8"]        14
[Event "Rated Classical game"] [TimeControl "5400+10"]       21
[Event "Rated Classical game"] [TimeControl "5400+14"]       2
[Event "Rated Classical game"] [TimeControl "5400+15"]       28
[Event "Rated Classical game"] [TimeControl "5400+25"]       3
[Event "Rated Classical game"] [TimeControl "5400+30"]       151
[Event "Rated Classical game"] [TimeControl "5400+35"]       5
[Event "Rated Classical game"] [TimeControl "5400+45"]       6
[Event "Rated Classical game"] [TimeControl "5400+60"]       26
[Event "Rated Classical game"] [TimeControl "5400+90"]       141
[Event "Rated Classical game"] [TimeControl "5400+120"]      9
[Event "Rated Classical game"] [TimeControl "5400+150"]      7
[Event "Rated Classical game"] [TimeControl "5400+180"]      4
[Event "Rated Classical game"] [TimeControl "7200+0"]        366
[Event "Rated Classical game"] [TimeControl "7200+1"]        8
[Event "Rated Classical game"] [TimeControl "7200+2"]        14
[Event "Rated Classical game"] [TimeControl "7200+3"]        3
[Event "Rated Classical game"] [TimeControl "7200+4"]        3
[Event "Rated Classical game"] [TimeControl "7200+5"]        9
[Event "Rated Classical game"] [TimeControl "7200+8"]        19
[Event "Rated Classical game"] [TimeControl "7200+10"]       30
[Event "Rated Classical game"] [TimeControl "7200+15"]       3
[Event "Rated Classical game"] [TimeControl "7200+20"]       1
[Event "Rated Classical game"] [TimeControl "7200+30"]       104
[Event "Rated Classical game"] [TimeControl "7200+45"]       1
[Event "Rated Classical game"] [TimeControl "7200+60"]       1
[Event "Rated Classical game"] [TimeControl "7200+90"]       1
[Event "Rated Classical game"] [TimeControl "7200+120"]      226
[Event "Rated Classical game"] [TimeControl "7200+150"]      19
[Event "Rated Classical game"] [TimeControl "7200+180"]      13
[Event "Rated Classical game"] [TimeControl "9000+0"]        416
[Event "Rated Classical game"] [TimeControl "9000+1"]        23
[Event "Rated Classical game"] [TimeControl "9000+2"]        1
[Event "Rated Classical game"] [TimeControl "9000+3"]        10
[Event "Rated Classical game"] [TimeControl "9000+4"]        1
[Event "Rated Classical game"] [TimeControl "9000+5"]        16
[Event "Rated Classical game"] [TimeControl "9000+6"]        17
[Event "Rated Classical game"] [TimeControl "9000+7"]        4
[Event "Rated Classical game"] [TimeControl "9000+8"]        63
[Event "Rated Classical game"] [TimeControl "9000+9"]        1
[Event "Rated Classical game"] [TimeControl "9000+10"]       19
[Event "Rated Classical game"] [TimeControl "9000+11"]       2
[Event "Rated Classical game"] [TimeControl "9000+12"]       2
[Event "Rated Classical game"] [TimeControl "9000+15"]       7
[Event "Rated Classical game"] [TimeControl "9000+18"]       1
[Event "Rated Classical game"] [TimeControl "9000+20"]       29
[Event "Rated Classical game"] [TimeControl "9000+25"]       5
[Event "Rated Classical game"] [TimeControl "9000+30"]       1
[Event "Rated Classical game"] [TimeControl "9000+35"]       2
[Event "Rated Classical game"] [TimeControl "9000+40"]       7
[Event "Rated Classical game"] [TimeControl "9000+60"]       3
[Event "Rated Classical game"] [TimeControl "9000+150"]      52
[Event "Rated Classical game"] [TimeControl "9000+180"]      230
[Event "Rated Classical game"] [TimeControl "10800+0"]       1728
[Event "Rated Classical game"] [TimeControl "10800+1"]       23
[Event "Rated Classical game"] [TimeControl "10800+2"]       124
[Event "Rated Classical game"] [TimeControl "10800+3"]       8
[Event "Rated Classical game"] [TimeControl "10800+4"]       9
[Event "Rated Classical game"] [TimeControl "10800+5"]       110
[Event "Rated Classical game"] [TimeControl "10800+6"]       9
[Event "Rated Classical game"] [TimeControl "10800+8"]       31
[Event "Rated Classical game"] [TimeControl "10800+10"]      9
[Event "Rated Classical game"] [TimeControl "10800+15"]      10
[Event "Rated Classical game"] [TimeControl "10800+17"]      1
[Event "Rated Classical game"] [TimeControl "10800+20"]      13
[Event "Rated Classical game"] [TimeControl "10800+25"]      3
[Event "Rated Classical game"] [TimeControl "10800+30"]      10
[Event "Rated Classical game"] [TimeControl "10800+90"]      1
[Event "Rated Classical game"] [TimeControl "10800+120"]     13
[Event "Rated Classical game"] [TimeControl "10800+150"]     2
[Event "Rated Classical game"] [TimeControl "10800+180"]     458
